Vertice,Pai,Nivel
610,-1,-1
611,-1,-1
612,-1,-1
613,-1,-1
614,62605,10
615,-1,-1
616,-1,-1
617,-1,-1
618,-1,-1
619,104280,9
620,17436,13
621,-1,-1
622,-1,-1
623,-1,-1
624,266281,9
625,-1,-1
626,-1,-1
627,-1,-1
628,-1,-1
629,273968,11
630,132780,12
631,-1,-1
632,200748,13
633,29743,14
634,-1,-1
635,-1,-1
636,-1,-1
637,246571,10
638,31882,12
639,-1,-1
640,-1,-1
641,-1,-1
642,360340,12
643,233409,13
644,48122,12
645,-1,-1
646,366871,13
647,343231,12
648,-1,-1
649,-1,-1
650,292791,11
651,88795,12
652,229447,12
653,242500,11
654,-1,-1
655,-1,-1
656,-1,-1
657,-1,-1
658,53469,13
659,-1,-1
660,216132,8
661,-1,-1
662,-1,-1
663,-1,-1
664,-1,-1
665,-1,-1
666,-1,-1
667,-1,-1
668,287274,12
669,-1,-1
670,-1,-1
671,-1,-1
672,-1,-1
673,-1,-1
674,-1,-1
675,86479,12
676,322616,11
677,-1,-1
678,-1,-1
679,-1,-1
680,-1,-1
681,346265,12
682,92904,12
683,-1,-1
684,261616,11
685,-1,-1
686,-1,-1
687,-1,-1
688,220461,13
689,9102,11
690,-1,-1
691,6128,14
692,-1,-1
693,-1,-1
694,-1,-1
695,-1,-1
696,-1,-1
697,-1,-1
698,-1,-1
699,-1,-1
700,158611,13
701,312273,10
702,-1,-1
703,19788,12
704,332401,12
705,-1,-1
706,342151,8
707,200287,11
708,-1,-1
709,-1,-1
710,-1,-1
711,-1,-1
712,-1,-1
713,-1,-1
714,-1,-1
715,-1,-1
716,-1,-1
717,-1,-1
718,-1,-1
719,132432,10
720,-1,-1
721,-1,-1
722,9486,15
723,-1,-1
724,-1,-1
725,104643,13
726,-1,-1
727,-1,-1
728,-1,-1
729,-1,-1
730,54253,10
731,-1,-1
732,-1,-1
733,-1,-1
734,264783,11
735,-1,-1
736,286318,13
737,-1,-1
738,260745,11
739,-1,-1
740,235754,12
741,5717,13
742,-1,-1
743,-1,-1
744,-1,-1
745,-1,-1
746,-1,-1
747,-1,-1
748,296940,12
749,-1,-1
750,333662,13
751,-1,-1
752,-1,-1
753,240941,10
754,-1,-1
755,-1,-1
756,-1,-1
757,-1,-1
758,-1,-1
759,189157,10
760,-1,-1
761,-1,-1
762,-1,-1
763,-1,-1
764,271892,11
765,266847,11
766,217755,12
767,-1,-1
768,334279,13
769,-1,-1
770,-1,-1
771,361423,12
772,331885,10
773,289514,11
774,-1,-1
775,152736,10
776,-1,-1
777,-1,-1
778,-1,-1
779,33455,13
780,373251,12
781,138253,13
782,-1,-1
783,-1,-1
784,-1,-1
785,246137,13
786,-1,-1
787,-1,-1
788,-1,-1
789,-1,-1
790,-1,-1
791,-1,-1
792,-1,-1
793,241897,15
794,62264,13
795,294300,14
796,332992,11
797,-1,-1
798,-1,-1
799,-1,-1
800,-1,-1
801,-1,-1
802,-1,-1
803,-1,-1
804,-1,-1
805,-1,-1
806,-1,-1
807,-1,-1
808,-1,-1
809,-1,-1
810,-1,-1
811,-1,-1
812,203379,13
813,218522,13
814,-1,-1
815,-1,-1
816,-1,-1
817,-1,-1
818,-1,-1
819,367167,13
820,-1,-1
821,84651,16
822,-1,-1
823,-1,-1
824,223649,11
825,-1,-1
826,-1,-1
827,12828,12
828,163999,12
829,-1,-1
830,-1,-1
831,-1,-1
832,-1,-1
833,-1,-1
834,-1,-1
835,-1,-1
836,-1,-1
837,-1,-1
838,-1,-1
839,-1,-1
840,315953,14
841,-1,-1
842,50848,11
843,-1,-1
844,250011,9
845,-1,-1
846,-1,-1
847,-1,-1
848,59739,13
849,-1,-1
850,315574,13
851,-1,-1
852,-1,-1
853,-1,-1
854,-1,-1
855,-1,-1
856,-1,-1
857,-1,-1
858,-1,-1
859,-1,-1
860,66018,13
861,-1,-1
862,251315,14
863,-1,-1
864,321126,11
865,-1,-1
866,363687,13
867,-1,-1
868,104280,9
869,-1,-1
870,207985,12
871,-1,-1
872,56353,13
873,-1,-1
874,-1,-1
875,-1,-1
876,-1,-1
877,-1,-1
878,-1,-1
879,-1,-1
880,-1,-1
881,-1,-1
882,-1,-1
883,-1,-1
884,-1,-1
885,354476,10
886,-1,-1
887,-1,-1
888,-1,-1
889,196829,13
