Vertice,Pai,Nivel
777,-1,-1
778,-1,-1
779,89191,32347
780,235787,10941
781,2717,30255
782,-1,-1
783,-1,-1
784,-1,-1
785,190632,14153
786,-1,-1
787,-1,-1
788,-1,-1
789,-1,-1
790,-1,-1
791,-1,-1
792,-1,-1
793,241897,24212
794,62264,40669
795,294300,26122
796,346881,17410
797,-1,-1
798,-1,-1
799,-1,-1
800,-1,-1
801,-1,-1
802,-1,-1
803,-1,-1
804,-1,-1
805,-1,-1
806,-1,-1
807,-1,-1
808,-1,-1
809,-1,-1
810,-1,-1
811,-1,-1
812,232038,4250
813,13548,3413
814,-1,-1
815,-1,-1
816,-1,-1
817,-1,-1
818,-1,-1
819,367167,28129
820,-1,-1
821,84651,20647
822,-1,-1
823,-1,-1
824,223649,30245
825,-1,-1
826,-1,-1
827,350000,5439
828,182360,16082
829,-1,-1
830,-1,-1
831,-1,-1
832,-1,-1
833,-1,-1
834,-1,-1
835,-1,-1
836,-1,-1
837,-1,-1
838,-1,-1
839,-1,-1
840,315953,40693
841,-1,-1
842,312453,33675
843,-1,-1
844,59072,7437
845,-1,-1
846,-1,-1
847,-1,-1
848,59739,32854
849,-1,-1
850,315574,16923
851,-1,-1
852,-1,-1
853,-1,-1
854,-1,-1
855,-1,-1
856,-1,-1
857,-1,-1
858,-1,-1
859,-1,-1
860,192233,26202
861,-1,-1
862,346622,11110
863,-1,-1
864,199432,36557
865,-1,-1
866,139180,30080
867,-1,-1
868,281782,1752
869,-1,-1
870,344795,24736
871,-1,-1
872,261496,36767
873,-1,-1
874,-1,-1
875,-1,-1
876,-1,-1
877,-1,-1
878,-1,-1
879,-1,-1
880,-1,-1
881,-1,-1
882,-1,-1
883,-1,-1
884,-1,-1
885,354476,13118
886,-1,-1
887,-1,-1
888,-1,-1
889,105522,14576
890,-1,-1
891,-1,-1
892,-1,-1
893,-1,-1
894,-1,-1
895,-1,-1
896,-1,-1
897,181798,36199
898,323132,1971
899,-1,-1
900,-1,-1
901,222918,7659
902,-1,-1
903,-1,-1
904,-1,-1
905,-1,-1
906,354429,13250
907,23724,35812
908,141798,12221
909,30879,26135
910,275705,39227
911,-1,-1
912,73567,40703
913,260963,2537
914,-1,-1
915,-1,-1
916,158041,23677
917,368240,37865
918,-1,-1
919,47894,31238
920,-1,-1
921,123038,34751
922,8085,29497
923,-1,-1
924,-1,-1
925,274039,39417
926,161290,8259
927,-1,-1
928,312202,19517
929,287949,30633
930,-1,-1
931,166254,28079
932,325830,26914
933,-1,-1
934,31627,36954
935,340933,13699
936,-1,-1
937,328557,19170
938,-1,-1
939,326860,39690
940,-1,-1
941,-1,-1
942,353386,39438
943,170593,3857
944,-1,-1
945,264192,38395
946,-1,-1
947,285690,38992
948,-1,-1
949,-1,-1
950,83947,35546
951,-1,-1
952,320262,33932
953,158560,40255
954,-1,-1
955,-1,-1
956,-1,-1
957,-1,-1
958,-1,-1
959,-1,-1
960,-1,-1
961,-1,-1
962,-1,-1
963,-1,-1
964,355760,32712
965,-1,-1
966,188330,18140
967,-1,-1
968,120548,1406
969,-1,-1
970,-1,-1
971,-1,-1
972,274679,7862
973,321882,14173
974,-1,-1
975,-1,-1
976,79664,11093
977,-1,-1
978,8725,25745
979,-1,-1
980,345754,5251
981,-1,-1
982,226258,4993
983,135426,40327
984,-1,-1
985,-1,-1
986,-1,-1
987,-1,-1
988,-1,-1
989,354605,33292
990,-1,-1
991,-1,-1
992,312459,6376
993,-1,-1
994,-1,-1
995,-1,-1
996,113258,34757
997,-1,-1
998,-1,-1
999,45264,819
1000,-1,-1
1001,13239,13463
1002,-1,-1
1003,-1,-1
1004,371983,34572
1005,76611,15077
